,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA,PO,PKO,IP,DP,GS,A,SB,CS,PB,E,FPCT,CS%,SBA,SB%,OOB
0,이진석,SK,0.500,6,2,2,1,1,0,0,0,1,0,0,0,0,0,0,-,0,0.00,6.50,0.000,0.1,0.35,0,0,5.0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0
1,김기현,SK,0.429,9,9,7,0,3,0,0,0,3,0,0,0,0,0,1,0.00,0,0.67,4.22,0.000,1.8,0.35700000000000004,1,0,9.0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0
2,이현석,SK,0.333,3,3,3,1,1,0,0,1,4,2,0,0,1,1,0,-,0,0.00,3.33,1.000,1.3,0.483,6,0,6.0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0
3,홍명찬,SK,0.333,5,3,3,0,1,0,0,0,1,0,0,0,0,0,0,-,0,0.00,3.33,0.000,0.3,0.233,2,0,4.666666666666667,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0
4,정의윤,SK,0.320,91,297,259,38,83,14,0,14,139,51,0,3,28,56,77,0.73,5,0.57,3.71,0.216,53.2,0.313,52,0,302.6666666666667,2,37,3,0,0,0,1,0.9821428571428572,0.0,5,100.0,5
5,이명기,SK,0.315,137,582,521,88,164,30,2,3,207,35,11,4,35,177,98,1.81,1,0.41,3.87,0.083,75.4,0.265,182,0,930.6666666666665,1,114,1,0,0,0,2,0.9891891891891892,0.0,32,68.75,6
6,최정민,SK,0.308,8,15,13,1,4,0,0,0,4,2,1,0,0,5,1,5.00,0,0.33,3.60,0.000,1.5,0.23800000000000002,10,0,41.0,6,4,19,0,0,0,0,1.0,0.0,0,0.0,0
7,김성현,SK,0.297,129,449,397,49,118,20,0,8,162,48,12,2,28,121,118,1.03,5,0.74,3.49,0.111,53.3,0.263,168,0,1007.6666666666665,75,119,328,0,0,0,23,0.9556840077071292,0.0,5,20.0,5
8,최정,SK,0.295,81,330,275,43,81,17,0,17,149,58,1,3,34,45,74,0.61,10,0.59,4.20,0.247,58.5,0.316,43,0,596.0,14,71,133,0,0,0,4,0.9777777777777776,0.0,7,71.42857142857143,1
9,허웅,SK,0.294,18,19,17,2,5,1,0,0,6,3,0,0,1,1,8,0.13,0,0.67,3.89,0.059,2.3,0.254,46,1,49.0,0,2,3,1,0,0,0,1.0,0.0,0,0.0,0
10,이재원,SK,0.282,140,559,489,58,138,18,1,17,209,100,0,5,36,115,156,0.74,11,0.64,3.66,0.145,71.8,0.27,500,0,563.3333333333334,3,67,37,42,18,5,3,0.9944444444444444,30.0,4,25.0,5
11,박정권,SK,0.281,124,494,438,66,123,23,0,21,209,70,4,2,44,96,102,0.94,5,0.39,4.02,0.196,71.1,0.278,897,0,973.6666666666665,83,112,78,0,0,0,8,0.9918616480162769,0.0,6,50.0,5
12,나주환,SK,0.268,96,273,246,31,66,15,0,5,96,22,12,1,20,70,64,1.09,3,0.26,3.94,0.122,25.6,0.23600000000000002,141,0,644.3333333333334,44,71,186,0,0,0,7,0.9790419161676648,0.0,8,37.5,3
13,김연훈,SK,0.267,49,73,60,4,16,1,0,1,20,3,5,1,2,11,16,0.69,0,0.33,3.99,0.067,7.7,0.235,42,0,185.66666666666663,17,17,63,0,0,0,4,0.963302752293578,0.0,1,0.0,2
14,이대수,SK,0.264,36,86,72,9,19,3,0,2,28,12,6,1,5,18,13,1.38,1,0.26,3.95,0.125,7.5,0.244,12,0,146.66666666666666,5,19,48,0,0,0,2,0.967741935483871,0.0,1,0.0,0
15,조동화,SK,0.261,119,304,245,38,64,6,1,2,78,15,22,2,9,78,55,1.42,1,0.60,4.13,0.057,34.1,0.237,115,0,594.6666666666666,2,65,6,0,0,0,1,0.9918032786885246,0.0,21,85.71428571428571,1
16,브라운,SK,0.261,137,539,464,82,121,21,2,28,230,76,0,2,51,116,102,1.14,9,0.52,3.98,0.235,81.7,0.28600000000000003,313,0,909.6666666666667,21,111,35,0,0,0,3,0.9914529914529916,0.0,7,71.42857142857143,8
17,정상호,SK,0.254,113,324,279,34,71,11,1,12,120,49,8,0,24,62,66,0.94,5,0.28,3.96,0.176,42.1,0.261,580,2,631.0,4,74,46,64,29,1,7,0.9889415481832544,31.182795698924732,3,33.33333333333333,5
18,박진만,SK,0.248,78,162,133,12,33,5,0,2,44,14,2,0,7,31,48,0.65,1,1.10,4.12,0.083,17.7,0.252,86,0,373.0,18,32,75,0,0,0,2,0.9877300613496932,0.0,2,0.0,3
19,박재상,SK,0.248,108,292,250,34,62,12,2,7,99,37,6,1,21,70,66,1.06,5,0.60,4.24,0.148,34.1,0.252,111,0,543.0,0,56,3,0,0,0,2,0.9827586206896552,0.0,9,44.444444444444436,5
20,김강민,SK,0.246,96,328,293,43,72,17,0,4,101,31,4,1,21,74,65,1.14,5,0.28,3.88,0.099,31.4,0.228,186,0,692.0,2,78,6,0,0,0,1,0.9948186528497408,0.0,11,63.63636363636363,2
21,윤중환,SK,0.240,15,28,25,1,6,0,0,1,9,4,0,0,1,8,5,1.60,0,0.50,4.43,0.120,2.9,0.23399999999999999,10,0,47.0,0,4,0,0,0,0,0,1.0,0.0,1,0.0,0
22,박계현,SK,0.231,97,302,264,27,61,2,0,0,63,21,13,1,2,103,56,1.84,0,0.44,3.76,0.008,20.2,0.192,121,0,681.3333333333333,35,81,188,0,0,0,10,0.9686520376175548,0.0,18,55.555555555555564,2
23,김민식,SK,0.167,23,26,24,4,4,0,0,0,4,0,0,0,0,11,7,1.57,0,1.00,3.73,0.000,0.1,0.146,37,0,31.33333333333333,0,1,1,1,0,0,0,1.0,0.0,0,0.0,0
24,박윤,SK,0.111,17,29,27,1,3,0,0,0,3,0,1,0,0,8,3,2.67,0,0.00,3.66,0.000,-0.8,0.092,68,0,70.66666666666667,6,6,8,0,0,0,1,0.987012987012987,0.0,0,0.0,0
25,김재현,SK,0.105,46,20,19,13,2,0,1,0,4,0,0,0,1,8,3,2.67,0,0.00,4.10,0.105,1.2,0.12,8,0,40.66666666666666,0,0,0,0,0,0,1,0.8888888888888888,0.0,8,87.5,1
26,안정광,SK,0.105,10,19,19,0,2,0,0,0,2,1,0,0,0,6,4,1.50,0,0.00,3.47,0.000,-0.6,0.07400000000000001,2,0,38.0,2,4,9,0,0,0,1,0.9166666666666666,0.0,0,0.0,0
27,유서준,SK,0.083,17,13,12,5,1,0,0,0,1,0,0,0,0,4,4,1.00,0,0.33,4.15,0.000,-0.3,0.09,6,0,32.0,4,2,9,0,0,0,0,1.0,0.0,4,75.0,0
28,고효준,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0,1,0,51.0,0,2,4,0,0,0,2,0.7142857142857143,0.0,0,0.0,0
29,박정배,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0,0,0,25.33333333333333,0,0,6,0,0,0,0,1.0,0.0,0,0.0,0
