,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA,PO,PKO,IP,DP,GS,A,SB,CS,PB,E,FPCT,CS%,SBA,SB%,OOB
0,이창열,한화,0.5,5,2,2,0,1,1,0,0,2,1,0,0,1,0,1,0.00,0,-,5.5,0.5,0.6,0.475,1,0,5.666666666666668,0,0,3,0,0,0,0,1.0,0.0,0,0.0,0
1,이용규,한화,0.341,124,585,493,94,168,15,7,4,209,42,11,4,26,177,107,1.65,3,1.51,3.98,0.083,93.2,0.298,278,0,1052.6666666666665,1,121,5,0,0,0,3,0.9895104895104896,0.0,38,73.68421052631578,8
2,김경언,한화,0.337,107,437,377,58,127,21,1,16,198,78,5,3,38,96,68,1.41,10,0.56,4.13,0.188,75.1,0.318,224,0,613.0,18,72,13,0,0,0,2,0.99163179916318,0.0,4,25.0,3
3,박노민,한화,0.33299999999999996,23,26,24,1,8,0,0,0,8,4,0,0,0,5,0,-,0,0.18,4.15,0.0,3.2,0.257,9,0,10.0,0,0,0,1,0,0,0,1.0,0.0,0,0.0,0
4,정근우,한화,0.316,126,552,468,99,148,30,2,12,218,66,13,2,44,158,98,1.61,13,0.92,3.59,0.15,84.9,0.298,273,0,1043.0,85,123,368,0,0,0,10,0.9846390168970814,0.0,27,77.7777777777778,7
5,김태균,한화,0.316,133,524,408,61,129,28,0,21,220,104,1,5,49,120,84,1.43,11,1.23,4.24,0.223,96.1,0.34,755,0,760.3333333333335,74,94,59,0,0,0,9,0.98906439854192,0.0,4,75.0,3
6,정현석,한화,0.31,43,133,116,20,36,6,0,1,45,12,2,0,7,31,25,1.24,1,0.54,3.92,0.078,16.8,0.272,52,0,256.33333333333337,1,28,4,0,0,0,1,0.9824561403508772,0.0,0,0.0,2
7,하주석,한화,0.3,4,11,10,3,3,0,0,0,3,1,0,0,0,2,1,2.00,0,0.25,3.73,0.0,1.2,0.239,4,0,19.0,3,3,10,0,0,0,0,1.0,0.0,0,0.0,0
8,최진행,한화,0.29100000000000004,109,410,333,55,97,17,0,18,168,64,5,3,35,71,67,1.06,5,0.64,4.13,0.213,67.1,0.311,130,0,545.0,0,67,4,0,0,0,1,0.9925925925925926,0.0,3,0.0,2
9,이종환,한화,0.29,44,106,100,14,29,4,0,0,33,12,0,0,4,31,19,1.63,2,0.29,4.06,0.04,10.9,0.231,7,0,24.666666666666664,0,1,1,0,0,0,1,0.8888888888888888,0.0,0,0.0,0
10,이시찬,한화,0.281,34,72,64,7,18,1,0,0,19,6,1,2,1,19,17,1.12,0,0.33,3.94,0.016,6.2,0.22,26,0,108.0,8,9,35,0,0,0,1,0.9838709677419356,0.0,2,50.0,0
11,폭스,한화,0.278,38,121,108,16,30,4,0,7,55,25,0,2,11,30,23,1.30,1,0.30,3.72,0.231,16.3,0.28,19,0,53.66666666666667,0,6,3,3,1,1,0,1.0,25.0,0,0.0,1
12,모건,한화,0.273,10,42,33,2,9,2,0,0,11,5,0,1,2,11,6,1.83,1,0.50,3.93,0.061,5.3,0.266,20,0,82.33333333333333,0,9,0,0,0,0,0,1.0,0.0,2,50.0,1
13,강경학,한화,0.257,120,376,311,50,80,7,4,2,101,27,17,3,13,103,73,1.41,3,0.69,4.08,0.068,40.0,0.23800000000000002,165,0,775.0,60,85,255,0,0,0,15,0.9655172413793104,0.0,7,57.14285714285714,7
14,장운호,한화,0.254,42,141,114,17,29,4,0,2,39,8,11,0,6,30,28,1.07,0,0.37,3.43,0.08800000000000001,14.1,0.24100000000000002,69,0,284.6666666666667,2,32,2,0,0,0,0,1.0,0.0,7,71.42857142857143,1
15,이성열,한화,0.25,101,268,232,35,58,10,2,9,99,36,5,2,21,47,42,1.12,4,0.23,3.92,0.177,33.1,0.256,92,0,415.6666666666666,1,49,4,0,0,0,2,0.979591836734694,0.0,2,50.0,0
16,지성준,한화,0.25,9,12,12,1,3,1,0,0,4,0,0,0,1,2,2,1.00,0,0.00,4.17,0.083,0.9,0.196,24,0,26.0,0,0,0,2,0,1,0,1.0,0.0,0,0.0,0
17,송광민,한화,0.243,12,41,37,2,9,2,0,0,11,1,1,0,2,12,5,2.40,0,0.18,3.61,0.054000000000000006,3.0,0.209,10,0,76.66666666666666,2,10,11,0,0,0,0,1.0,0.0,0,0.0,0
18,김태완,한화,0.239,22,50,46,5,11,2,0,0,13,3,0,0,2,10,9,1.11,0,0.13,4.04,0.043,3.7,0.20600000000000002,14,0,12.0,1,0,3,0,0,0,0,1.0,0.0,0,0.0,0
19,조인성,한화,0.23199999999999998,106,310,276,33,64,11,0,11,108,44,11,1,22,68,56,1.21,1,0.18,3.52,0.159,31.4,0.22699999999999998,493,1,713.3333333333335,11,85,65,82,34,6,6,0.9893617021276596,29.310344827586203,0,0.0,1
20,한상훈,한화,0.23,35,75,61,7,14,4,0,0,18,8,5,0,4,19,10,1.90,0,0.44,3.97,0.066,5.4,0.222,14,0,110.0,6,10,33,0,0,0,1,0.9791666666666666,0.0,3,0.0,0
21,신성현,한화,0.225,64,117,102,17,23,3,0,4,38,17,2,0,7,20,15,1.33,3,0.30,3.97,0.147,13.0,0.23399999999999999,111,0,262.0,7,26,49,0,0,0,2,0.9876543209876544,0.0,0,0.0,1
22,권용관,한화,0.22,116,341,296,32,65,8,1,5,90,22,17,1,14,77,69,1.12,1,0.21,4.04,0.084,25.2,0.204,193,0,762.6666666666667,51,83,190,0,0,0,15,0.9623115577889448,0.0,9,33.33333333333333,6
23,주현상,한화,0.21,103,246,214,18,45,7,0,0,52,12,6,2,7,65,60,1.08,1,0.46,3.87,0.033,16.1,0.19,53,0,574.3333333333333,14,65,144,0,0,0,7,0.965686274509804,0.0,2,100.0,4
24,김회성,한화,0.209,83,268,225,36,47,10,2,16,109,35,3,2,28,44,78,0.56,1,0.48,4.19,0.276,36.7,0.265,216,0,546.0,30,61,94,0,0,0,7,0.9779179810725552,0.0,6,33.33333333333333,4
25,송주호,한화,0.2,121,156,140,18,28,6,0,1,37,9,8,0,7,45,31,1.45,1,0.19,3.49,0.064,9.3,0.175,102,0,419.0,1,29,2,0,0,0,3,0.97196261682243,0.0,7,85.71428571428571,5
