,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,PO,PKO,DP,A,SB,CS,PB,E,FPCT,CS%
0,박진형,롯데,0.0,2,0,0,0,0,-,1.3333333333333333,2,0,0,0,1,0,0,1.5,0,0,0,2,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0.0,0.0
1,차재용,롯데,0.0,2,0,0,0,0,-,1.3333333333333333,0,0,1,0,0,2,0,0.75,0,0,0,1,0,0,0,2,3,0.67,0,0,0,0,0,0,0,0,0.0,0.0
2,정대현,롯데,2.95,19,2,1,3,3,0.667,18.333333333333332,16,3,7,2,17,6,6,1.25,0,0,2,10,7,0,1,15,20,0.75,0,0,0,1,0,0,0,0,1.0,0.0
3,린드블럼,롯데,3.56,32,13,11,0,0,0.542,210.0,196,28,52,12,180,86,83,1.18,32,13,0,2,0,0,15,220,191,1.15,11,2,2,30,0,0,0,0,1.0,0.0
4,레일리,롯데,3.91,31,11,9,0,0,0.550,179.33333333333334,182,20,57,15,134,93,78,1.33,30,11,0,1,0,0,18,231,140,1.65,13,1,4,39,0,0,0,1,0.981132075471698,0.0
5,홍성민,롯데,3.95,67,4,4,1,8,0.500,82.0,85,8,24,10,65,38,36,1.33,0,0,4,12,10,1,12,94,67,1.4,2,0,1,7,0,0,0,0,1.0,0.0
6,강영식,롯데,4.19,50,2,1,2,6,0.667,38.666666666666664,40,6,10,0,46,21,18,1.29,0,0,2,7,10,0,3,31,29,1.07,0,1,0,6,0,0,0,0,1.0,0.0
7,조현우,롯데,4.5,3,0,0,0,0,-,4.0,3,2,1,0,4,3,2,1.0,0,0,0,3,0,0,0,4,3,1.33,0,0,0,1,0,0,0,0,1.0,0.0
8,이성민,롯데,4.58,61,5,7,4,7,0.417,72.66666666666667,92,11,33,4,58,44,37,1.72,0,0,5,30,17,0,5,89,63,1.41,5,0,1,14,0,0,0,1,0.95,0.0
9,송승준,롯데,4.75,25,8,7,0,0,0.533,125.0,131,17,46,4,112,71,66,1.42,23,7,1,1,0,0,7,114,137,0.83,7,2,1,12,0,0,0,3,0.8636363636363636,0.0
10,이명우,롯데,5.64,59,2,1,0,6,0.667,59.0,78,5,20,2,34,44,37,1.66,5,1,1,4,8,0,7,78,49,1.59,1,0,4,24,0,0,0,0,1.0,0.0
11,김원중,롯데,5.75,15,0,0,0,1,-,20.333333333333332,21,1,15,3,20,15,13,1.77,0,0,0,4,1,0,1,19,21,0.9,1,0,0,1,0,0,0,0,1.0,0.0
12,박세웅,롯데,5.76,31,2,11,0,0,0.154,114.0,129,16,54,12,82,81,73,1.61,21,2,0,3,0,0,9,141,97,1.45,3,1,0,17,0,0,0,3,0.8695652173913043,0.0
13,이정민,롯데,5.84,34,1,4,1,5,0.200,44.666666666666664,59,4,31,2,36,34,29,2.01,0,0,1,14,5,1,6,51,30,1.7,5,0,1,5,0,0,0,2,0.8333333333333334,0.0
14,심수창,롯데,6.01,39,4,6,5,3,0.400,73.33333333333333,99,9,29,3,76,56,49,1.75,6,0,4,16,8,0,11,69,62,1.11,1,0,0,6,0,0,0,0,1.0,0.0
15,이재곤,롯데,6.23,5,0,2,0,0,0.000,13.0,15,1,18,4,9,10,9,2.54,5,0,0,0,0,0,5,16,7,2.29,1,0,1,1,0,0,0,0,1.0,0.0
16,김승회,롯데,6.24,39,7,3,2,2,0.700,75.0,96,13,28,4,50,52,52,1.65,7,2,5,13,5,0,5,68,93,0.73,5,0,0,7,0,0,0,0,1.0,0.0
17,이상화,롯데,6.55,14,3,8,0,0,0.273,55.0,69,7,25,1,35,43,40,1.71,12,3,0,2,0,0,3,68,54,1.26,10,0,0,10,0,0,0,0,1.0,0.0
18,배장호,롯데,6.59,9,0,2,0,0,0.000,28.666666666666668,35,5,10,5,9,21,21,1.57,5,0,0,2,0,0,2,33,39,0.85,2,0,0,4,0,0,0,1,0.8571428571428571,0.0
19,심규범,롯데,7.11,16,0,1,0,1,0.000,6.333333333333333,7,1,6,0,6,5,5,2.05,0,0,0,2,4,0,0,4,7,0.57,0,0,0,2,0,0,0,0,1.0,0.0
20,정재훈,롯데,7.11,10,0,0,0,0,-,6.333333333333333,16,1,6,0,5,8,5,3.47,0,0,0,3,2,0,0,5,8,0.63,0,0,0,1,0,0,0,0,1.0,0.0
21,김성배,롯데,7.71,45,2,3,1,5,0.400,39.666666666666664,51,2,19,2,33,34,34,1.76,0,0,2,9,10,0,1,36,45,0.8,2,0,0,5,0,0,0,0,1.0,0.0
22,이인복,롯데,10.18,9,0,0,0,0,-,20.333333333333332,36,4,8,2,9,25,23,2.16,1,0,0,5,0,0,1,27,22,1.23,1,0,0,6,0,0,0,0,1.0,0.0
23,구승민,롯데,10.24,11,0,2,0,0,0.000,29.0,46,9,9,2,20,33,33,1.9,3,0,0,3,0,0,2,29,32,0.91,5,0,1,1,0,0,0,0,1.0,0.0
24,이경우,롯데,10.8,1,0,0,0,0,-,1.6666666666666665,2,1,1,0,0,2,2,1.8,0,0,0,1,0,0,0,2,3,0.67,0,0,0,0,0,0,0,0,0.0,0.0
25,허준혁,롯데,21.6,3,0,0,0,0,-,1.6666666666666665,6,0,0,0,0,5,4,3.6,0,0,0,1,0,0,0,2,4,0.5,0,0,0,0,0,0,0,0,0.0,0.0
