,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,PO,PKO,DP,A,SB,CS,PB,E,FPCT,CS%
0,김정인,넥센,0.0,1,0,0,0,0,-,1.0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0.0,0.0
1,양훈,넥센,1.41,16,2,1,0,0,0.667,38.333333333333336,33,1,14,0,15,9,6,1.23,3,1,1,6,1,0,6,39,51,0.76,1,0,1,5,0,0,0,0,1.0,0.0
2,조상우,넥센,3.09,70,8,5,5,19,0.615,93.33333333333333,65,4,41,6,89,36,32,1.14,0,0,8,12,22,0,9,79,96,0.82,2,1,1,10,0,0,0,2,0.8571428571428571,0.0
3,밴헤켄,넥센,3.62,32,15,8,0,0,0.652,196.66666666666666,190,14,67,1,193,92,79,1.31,32,15,0,0,0,0,20,188,172,1.09,11,1,0,23,0,0,0,3,0.9189189189189191,0.0
4,손승락,넥센,3.82,58,4,6,23,0,0.400,61.333333333333336,73,6,13,3,63,35,26,1.4,0,0,4,47,29,3,4,74,39,1.9,5,0,0,16,0,0,0,1,0.9545454545454546,0.0
5,김영민,넥센,4.38,57,4,5,0,6,0.444,90.33333333333333,90,14,28,7,85,47,44,1.31,4,1,3,3,11,0,9,104,74,1.41,1,0,1,12,0,0,0,1,0.9285714285714286,0.0
6,금민철,넥센,4.5,7,1,1,0,0,0.500,22.0,25,2,14,2,11,11,11,1.77,5,1,0,0,0,0,2,27,25,1.08,3,0,0,2,0,0,0,0,1.0,0.0
7,이정훈,넥센,4.5,2,0,0,0,0,-,2.0,3,0,0,0,0,2,1,1.5,0,0,0,1,0,0,0,3,3,1.0,0,0,0,0,0,0,0,0,0.0,0.0
8,피어밴드,넥센,4.67,30,13,11,0,0,0.542,177.33333333333334,202,23,61,12,137,101,92,1.48,30,13,0,0,0,0,16,205,146,1.4,1,13,1,44,0,0,0,4,0.9183673469387756,0.0
9,한현희,넥센,4.82,45,11,4,0,10,0.733,123.33333333333333,126,14,41,13,122,70,66,1.35,17,8,3,3,11,0,3,116,115,1.01,8,1,0,16,0,0,0,2,0.9230769230769232,0.0
10,김대우,넥센,4.94,47,6,3,1,4,0.667,71.0,81,8,31,6,63,44,39,1.58,1,0,6,11,6,1,7,63,72,0.88,6,0,0,5,0,0,0,0,1.0,0.0
11,마정길,넥센,5.06,35,0,0,0,0,-,37.333333333333336,36,4,17,6,33,22,21,1.42,0,0,0,12,2,0,5,29,45,0.64,2,0,1,2,0,0,0,0,1.0,0.0
12,송신영,넥센,5.35,18,7,4,0,0,0.636,69.0,77,12,22,2,46,42,41,1.43,16,7,0,0,1,0,7,78,71,1.1,3,0,1,8,0,0,0,0,1.0,0.0
13,문성현,넥센,6.28,34,0,5,0,1,0.000,91.66666666666667,114,10,39,5,58,75,64,1.67,13,0,0,12,1,0,4,119,89,1.34,8,0,0,6,0,0,0,0,1.0,0.0
14,김동준,넥센,6.44,22,1,1,0,0,0.500,50.333333333333336,56,7,30,3,32,41,36,1.71,5,0,1,5,0,0,2,51,62,0.82,4,1,0,8,0,0,0,1,0.9230769230769232,0.0
15,배힘찬,넥센,6.75,7,0,1,0,0,0.000,6.666666666666667,10,1,6,0,1,7,5,2.4,0,0,0,4,0,0,0,11,9,1.22,1,0,0,0,0,0,0,0,1.0,0.0
16,김정훈,넥센,7.04,13,0,2,0,1,0.000,15.333333333333334,20,2,10,3,11,14,12,1.96,1,0,0,7,1,0,0,12,22,0.55,2,0,0,1,0,0,0,1,0.75,0.0
17,하영민,넥센,7.53,18,2,0,0,0,1.000,34.666666666666664,48,7,12,2,25,30,29,1.73,2,1,1,7,0,0,5,39,29,1.34,2,0,1,8,0,0,0,0,1.0,0.0
18,김택형,넥센,7.91,37,4,4,0,2,0.500,58.0,79,7,42,6,55,58,51,2.09,10,2,2,3,3,0,7,68,40,1.7,5,0,0,8,0,0,0,1,0.9285714285714286,0.0
19,정회찬,넥센,9.0,1,0,0,0,0,-,1.0,2,1,1,0,1,1,1,3.0,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0,0,0,0,0.0,0.0
20,오재영,넥센,9.33,9,0,2,0,0,0.000,18.333333333333332,31,4,12,1,11,19,19,2.35,4,0,0,3,0,0,3,15,23,0.65,1,0,0,2,0,0,0,0,1.0,0.0
21,구자형,넥센,10.13,3,0,0,0,0,-,2.6666666666666665,4,0,2,0,1,3,3,2.25,0,0,0,3,0,0,1,5,1,5.0,0,0,0,1,0,0,0,0,1.0,0.0
22,이상민,넥센,10.71,23,0,1,0,1,0.000,19.333333333333332,29,4,10,3,12,23,23,2.02,0,0,0,4,2,0,2,25,17,1.47,0,0,0,4,0,0,0,0,1.0,0.0
23,김상수,넥센,10.8,2,0,1,0,0,0.000,5.0,10,1,5,0,2,8,6,3.0,1,0,0,0,0,0,1,6,7,0.86,0,0,0,2,0,0,0,0,1.0,0.0
